Anime Name,Condition,Views,Latest Episode
The Magical Revolution of the Reincarnated Princess and the Genius Young Lady,Ongoing,"715,534","011
"
Shinobi no Ittoki,Completed,"850,784","012
"
DECA-DENCE,Completed,"1,798,172","012
"
"Even so, Ayumu draws closer to the endgame",Completed,"261,377","012
"
How a Realist Hero Rebuilt the Kingdom Part 2,Completed,"2,073,854","026
"
Do It Yourself!!,Completed,"168,647","012
"
Blue Period,Completed,"706,065","012
"
"So I'm a Spider, So What?",Completed,"5,563,566","024
"
A Couple of Cuckoos,Completed,"991,368","024
"
I’m Quitting Heroing,Completed,"2,179,929","012
"
SHADOWS HOUSE,Completed,"560,454","013
"
Is It Wrong to Try to Pick Up Girls in a Dungeon? IV Part 2,Ongoing,"1,329,725","011
"
Moriarty the Patriot,Completed,"1,316,402","011
"
ODD TAXI,Completed,"686,825","013
"
She is also my Girlfriend,Completed,"901,550","012
"
World's End Harem,Completed,"2,199,612","011
"
How a Realist Hero Rebuilt the Kingdom,Completed,"3,703,346","013
"
Trapped in a Dating Sim: The World of Otome Games Is Tough for Mobs,Completed,"2,052,988","012
"
Sasaki to Miyano,Completed,"633,762","012
"
The Iceblade Sorcerer Shall Rule the World,Ongoing,"1,082,682","011
"
Akebi’s Sailor Uniform,Completed,"271,636","012
"
The Dawn of the Witch,Completed,"556,649","012
"
Battle Game in 5 Seconds,Completed,"945,069","012
"
Love Flops,Completed,"438,216","012
"
Ippon! again,Ongoing,"52,999","011
"
Sonny Boy,Completed,"466,401","012
"
Vermeil in Gold,Completed,"1,357,342","012
"
Fruits Basket Season 2,Completed,"3,169,177","025
"
Peach Boy Riverside,Completed,"1,166,611","012
"
"I'm standing on 1,000,000 lives.",Completed,"3,702,888","012
"
Kubo Won't Let Me Be Invisible,Ongoing,"273,123","006
"
Uzaki-chan Wants to Hang Out!,Completed,"3,929,971","012
"
Akiba Maid War,Completed,"336,450","012
"
Beast Tamer,Completed,"1,353,867","013
"
Mother of the Goddess' Dormitory,Completed,"957,251","010
"
Golden Kamuy 3,Completed,"863,524","012
"
Aggretsuko: Season 3,Completed,"128,697","010
"
Aquatope of White Sand,Completed,"351,312","024
"
Skeleton Knight in Another World,Completed,"2,142,331","012
"
Welcome to Demon School! Iruma-kun Season 2,Completed,"3,082,053","021
"
Welcome to Demon School! Iruma-kun Season 3,Ongoing,"1,087,085","021
"
The Yakuza's Guide to Babysitting,Completed,"540,137","012
"
My Next Life as a Villainess: All Routes Lead to Doom! X,Completed,"907,691","012
"
Noblesse,Completed,"3,914,323","013
"
TSUKIMICHI -Moonlit Fantasy-,Completed,"3,635,535","012
"
Campfire Cooking in Another World with my Absurd Skill,Ongoing,"1,108,159","010
"
Great Pretender,Completed,"1,342,016","023
"
Our Last Crusade or the Rise of a New World,Completed,"3,726,891","012
"
RWBY: Ice Queendom,Completed,"334,458","012
"
Ascendance of a Bookworm Season 3,Completed,"583,070","036
"
The Vampire Dies in No Time,Completed,"310,134","012
"
Engage Kiss,Completed,"800,519","013
"
Food Wars! The Fifth Plate,Completed,"4,851,242","013
"
Spirit Chronicles,Completed,"2,649,783","012
"
Higurashi: When They Cry - New,Completed,"1,811,593","024
"
The Executioner and Her Way of Life,Completed,"650,076","012
"
Pretty Boy Detective Club,Completed,"184,855","012
"
Shadows House 2nd Season,Completed,"167,044","012
"
The Fruit of Evolution: Before I Knew It My Life Had It Made,Completed,"1,886,396","012
"
Monster Girl Doctor,Completed,"2,275,990","012
"
The Heike Story,Completed,"194,248","011
"
Love Live! Perfect Dream Project,Completed,"358,758","013
"
Berserk: The Golden Age Arc - Memorial Edition,Completed,"242,115","013
"
"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense. Season 2",Ongoing,"781,230","008
"
Spy Classroom,Ongoing,"279,496","010
"
Black Summoner,Completed,"2,018,998","012
"
I'm the Villainess so I'm Taming the Final Boss,Completed,"672,155","012
"
My Life as Inukai-san’s Dog,Ongoing,"392,037","[Uncensored]
"
The Dungeon of Black Company,Completed,"1,157,373","012
"
In the Land of Leadale,Completed,"1,173,290","012
"
Hang On! Climbing Girls,Completed,"414,410","012
"
By the Grace of the Gods,Completed,"3,825,353","012
"
Yashahime: Princess Half-Demon,Completed,"1,305,311","024
"
The Bears Bear a Bare Kuma,Completed,"1,382,727","012
"
Platinum End,Completed,"1,575,109","024
"
The Misfit of Demon King Academy: History’s Strongest Demon King Reincarnates and Goes to School with His Descendants Season 2,Ongoing,"941,804","006
"
The Ice Guy and His Cool Female Colleague,Ongoing,"298,835","011
"
My Isekai Life: I Gained a Second Class and Became the Strongest Sage in the World!,Completed,"2,236,402","012
"
Ningen Fushin: Adventurers Who Don’t Believe in Humanity Will Save the World,Ongoing,"948,276","011
"
MARS RED,Completed,"462,943","013
"
Princess Connect! Re:Dive Season 2,Completed,"351,291","012
"
Opera Girl!!,Completed,"177,227","013
"
The tale of outcasts,Ongoing,"221,583","011
"
The Strongest Sage with the Weakest Crest,Completed,"2,204,479","012
"
The Duke of Death and His Black Maid,Completed,"696,367","012
"
Fena: Pirate Princess,Completed,"716,893","012
"
HIGH CARD,Ongoing,"236,728","010
"
"The Fruit of Evolution 2: Before I Knew It, My Life Had It Made",Ongoing,"544,295","010
"
She Professed Herself Pupil of the Wise Man,Completed,"862,094","012
"
Taisho Otome Fairy Tale,Completed,"339,979","012
"
Senpai is Mine,Completed,"400,117","012
"
Assault Lily,Completed,"575,700","012
"
Slow Loop,Completed,"160,494","012
"
LINK CLICK,Completed,"644,992","011
"
YUREI DECO,Completed,"40,339","012
"
One Room 3,Completed,"222,222","012
"
UNCLE FROM ANOTHER WORLD,Completed,"1,552,233","013
"
The Great Jahy Will Not Be Defeated!,Completed,"688,343","020
"
MEGALOBOX 2: NOMAD,Completed,"694,922","013
"
"Science Fell in Love, So I Tried to Prove It Season 2",Completed,"211,149","012
"
The Maid I Recently Hired is Mysterious,Completed,"345,040","011
"
I've Somehow Gotten Stronger When I Improved My Farm-Related Skills,Completed,"1,486,890","012
"
Cheat Pharmacist's Slow Life: Making a Drugstore in Another World,Completed,"689,875","012
"
SAKUGAN,Completed,"295,518","012
"
Dance Dance Danseur,Completed,"115,937","011
"
The Demon Girl Next Door Season 2,Completed,"190,414","012
"
SUPER HXEROS,Completed,"2,161,566","012
"
Ryman's Club,Completed,"178,875","012
"
Hypnosis Mic: Division Rap Battle - Rhyme Anima,Completed,"374,777","013
"
The Night Beyond the Tricornered Window,Completed,"226,497","012
"
Is the Order a Rabbit? BLOOM,Completed,"320,834","012
"
Kiyo in Kyoto: From the Maiko House,Completed,"108,247","012
"
"I, Tsushima",Ongoing,"76,802","018
"
Morfonication,Completed,"15,564","002
"
Detective Conan,Ongoing,"100,382,657","1077
"
Reborn to Master the Blade: From Hero-King to Extraordinary Squire,Ongoing,"923,772","010
"
Mobile Suit Gundam the Witch from Mercury,Completed,"867,584","012
"
Arknights: Prelude to Dawn,Completed,"235,663","008
"
The Honor Student at Magic High School,Completed,"804,791","013
"
Sugar Apple Fairy Tale,Ongoing,"186,793","011
"
Guild of Depravity,Completed,"629,622","[Uncensored]
"
Princess of the Bibliophile,Completed,"253,110","012
"
Love Live! Superstar!!,Completed,"218,214","012
"
The Fire Hunter,Ongoing,"104,561","010
"
Restaurant to Another World 2,Completed,"580,547","012
"
"Don’t Hurt Me, My Healer!",Completed,"190,296","012
"
FUUTO PI,Completed,"241,159","012
"
BIRDIE WING: Golf Girls' Story,Completed,"146,360","013
"
Lapis Re:LiGHTs,Completed,"229,241","012
"
Prima Doll,Completed,"79,926","012
"
Dropout Idol Fruit Tart,Completed,"239,338","012
"
Encouragement of Climb: Next Summit,Completed,"75,299","012
"
Yatogame-chan Kansatsu Nikki Yonsatsume,Completed,"30,104","010
"
Urusei Yatsura (2022),Ongoing,"523,482","022
"
"I'm standing on 1,000,000 lives. Season 2",Completed,"1,283,693","012
"
Revenger,Ongoing,"296,015","011
"
Deaimon,Completed,"194,582","012
"
Peter Grill and the Philosopher's Time,Completed,"2,483,683","012
"
To Become a Real Heroine! The Unpopular Girl and the Secret Task,Completed,"159,920","012
"
Obey Me!,Completed,"293,341","012
"
Warlords of Sigrdrifa,Completed,"442,263","012
"
Gal & Dino,Completed,"124,837","012
"
Muv-Luv Alternative,Completed,"383,588","012
"
Deji Meets Girl,Completed,"73,588","012
"
MAGATSU WAHRHEIT,Completed,"435,793","012
"
D4DJ All Mix,Ongoing,"30,521","011
"
Love of Kill,Completed,"500,424","012
"
Ahiru no Sora,Completed,"4,919,130","050
"
Orient,Completed,"692,430","012
"
APPARE-RANMAN!,Completed,"597,473","013
"
Tokyo 24th Ward,Completed,"221,751","012
"
World Trigger 3rd Season,Completed,"985,023","014
"
The Daily Life of the Immortal King Season 3,Completed,"672,877","012
"
In the Heart of Kunoichi Tsubaki,Completed,"153,142","013
"
Kaina of the Great Snow Sea,Ongoing,"154,683","010
"
Visual Prison,Completed,"161,377","012
"
GIBIATE,Completed,"506,895","012
"
"Farewell, My Dear Cramer",Completed,"161,316","013
"
Dolls' Frontline,Ongoing,"199,294","012
"
Pop Team Epic 2,Completed,"101,323","012
"
Shine On! Bakumatsu Bad Boys!,Completed,"214,293","012
"
RPG Fudousan,Completed,"156,322","012
"
Peter Grill and the Philosopher’s Time - Super Extra,Completed,"325,903","[Uncensored]
"
